Iteration,Best_Fitness,Stagnation_Counter,Total_Load_Shed,Gen_Deviation_Sum,Gen_Rescheduling_Cost,Num_Line_Violations,Max_Line_Violation_Pct,Prob_OOA,Prob_KHA,Prob_SHO,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14
18,10853157.034833636,0,4.272218870921215,65.72687582941809,548.1621444173468,0,0.0,0.5275784004196566,0.25995429617415006,0.2124673034061933,200.0,92.02687582941809,-209.9620796448473,-1.3658206795331416,-1.0,-11.2,0.0,0.0,-29.499880804698325,-9.0,-3.5,-6.1,-5.5,-14.9
19,10853157.034833636,1,4.272218870921215,65.72687582941809,548.1621444173468,0,0.0,0.5319127255170718,0.26264451298277003,0.20544276150015817,200.0,92.02687582941809,-209.9620796448473,-1.3658206795331416,-1.0,-11.2,0.0,0.0,-29.499880804698325,-9.0,-3.5,-6.1,-5.5,-14.9
20,10847055.544127189,0,4.272218870921215,65.72732847924841,548.1659195169318,0,0.0,0.535929892233563,0.26521549019236323,0.19885461757407372,200.0,92.02732847924841,-209.9620796448473,-1.3658206795331416,-1.0,-11.2,0.0,0.0,-29.499880804698325,-9.0,-3.5,-6.1,-5.5,-14.9
21,10819621.232344713,0,4.234047744567249,65.85518454553552,549.2322391097662,0,0.0,0.5400238324803487,0.2674386429300954,0.19253752458955598,199.95538385494862,92.11056840048414,-209.96595225543274,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
22,10819621.232344713,1,4.234047744567249,65.85518454553552,549.2322391097662,0,0.0,0.5454917039087767,0.2681399888868178,0.18636830720440553,199.95538385494862,92.11056840048414,-209.96595225543274,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
23,10810647.081653941,0,4.224474887821202,65.8611715561566,549.2821707783461,0,0.0,0.5507065394698623,0.2687693396257009,0.1805241209044369,199.95717677801113,92.11834833416773,-209.9755251121788,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
24,10810647.081653941,1,4.224474887821202,65.8611715561566,549.2821707783461,0,0.0,0.5568850228780274,0.2683094222048738,0.17480555491709873,199.95717677801113,92.11834833416773,-209.9755251121788,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
25,10808935.93162359,0,4.222823383522808,65.86057510381143,549.2771963657874,0,0.0,0.5626643672397441,0.26787147918451776,0.16946415357573819,199.95830075633287,92.1188758601443,-209.97717661647718,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
26,10808935.93162359,1,4.222823383522808,65.86057510381143,549.2771963657874,0,0.0,0.5692148975094061,0.2666121613063353,0.16417294118425854,199.95830075633287,92.1188758601443,-209.97717661647718,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
27,10808935.93162359,2,4.222823383522808,65.86057510381143,549.2771963657874,0,0.0,0.575302970135314,0.2654817777198359,0.15921525214485024,199.95830075633287,92.1188758601443,-209.97717661647718,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
28,10808935.93162359,3,4.222823383522808,65.86057510381143,549.2771963657874,0,0.0,0.5808936599890143,0.264497582231084,0.15460875777990174,199.95830075633287,92.1188758601443,-209.97717661647718,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
29,10801685.898001328,0,4.223014614657842,65.78616307683481,548.6566000608022,0,0.0,0.5862141793605159,0.26348239752223673,0.1503034231172474,199.99541115425365,92.08157423108845,-209.97698538534215,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
30,10799143.926559005,0,4.220366667104059,65.78722282911104,548.6654383947861,0,0.0,0.5921332296922713,0.261796242635184,0.14607052767254478,199.9962052518924,92.08342808100345,-209.97963333289593,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
31,10798826.84699995,0,4.217961466710051,65.78782425965478,548.670454325521,1,0.00036026454981765707,0.5979947572177446,0.26004986032196603,0.14195538246028927,199.99710713681753,92.08493139647231,-209.98203853328994,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
32,10798163.617030868,0,4.217971261278876,65.78493119463046,548.646326163218,1,0.0003243959710061972,0.6038766406347426,0.2581285682056729,0.13799479115958455,199.9985487720453,92.08347996667575,-209.9820287387211,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
33,10797514.903075607,0,4.21887988238106,65.78580045336969,548.6535757811032,0,0.0,0.6098835795326478,0.255938336176684,0.1341780842906683,199.99765983212458,92.08346028549427,-209.98112011761893,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
34,10797374.184937637,0,4.218769117362768,65.78550092467097,548.6510777117559,0,0.0,0.6158768160330117,0.2535913332947764,0.13053185067221193,199.9978649789831,92.08336590365407,-209.98123088263722,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
35,10797374.184937637,1,4.218769117362768,65.78550092467097,548.6510777117559,0,0.0,0.6222194748942738,0.25080381755989906,0.12697670754582718,199.9978649789831,92.08336590365407,-209.98123088263722,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
36,10797104.482732605,0,4.2187012901837875,65.7834821912467,548.6342414749975,0,0.0,0.6282043688430158,0.24810500915844308,0.1236906219985412,199.99890825928472,92.08239045053142,-209.9812987098162,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
37,10796835.80630942,0,4.218633720977806,65.78147113584686,548.6174692729628,0,0.0,0.6344111792284357,0.2451230144068215,0.1204658063647428,199.99994757158763,92.08141870743448,-209.98136627902218,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
38,10796776.209336651,0,4.218397891294927,65.78161165993573,548.618641243864,1,0.00010187998713035995,0.6404436409247152,0.24221111232536366,0.11734524674992111,199.99999522438466,92.0816068843204,-209.98160210870506,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
39,10796775.174300138,1,4.218390913036757,65.78160242179884,548.6185641978022,1,0.00010401453039321495,0.6463840639849681,0.239285672812597,0.11433026320243492,200.0,92.08160242179883,-209.98160908696323,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
40,10796749.320488706,0,4.218489572819607,65.78149917115364,548.6177030874213,1,5.9253372387502165e-05,0.6522298590597964,0.236352800977283,0.1114173399629207,200.0,92.08149917115364,-209.98151042718038,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
41,10796749.320488706,1,4.218489572819607,65.78149917115364,548.6177030874213,1,5.9253372387502165e-05,0.6583962103171193,0.23308442144973285,0.108519368233148,200.0,92.08149917115364,-209.98151042718038,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
42,10796749.311566783,2,4.218489292128595,65.78149949026002,548.6177057487685,1,5.9382767392435196e-05,0.6640903907478387,0.23011096968631298,0.1057986395658484,199.9999999945972,92.08149948485722,-209.9815107078714,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
43,10796749.311566783,3,4.218489292128595,65.78149949026002,548.6177057487685,1,5.9382767392435196e-05,0.6695793535004286,0.22721055544524307,0.10321009105432831,199.9999999945972,92.08149948485722,-209.9815107078714,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
44,10796749.311566783,4,4.218489292128595,65.78149949026002,548.6177057487685,1,5.9382767392435196e-05,0.6746653235229519,0.2245343877033679,0.10080028877368015,199.9999999945972,92.08149948485722,-209.9815107078714,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
45,10796749.311566783,5,4.218489292128595,65.78149949026002,548.6177057487685,1,5.9382767392435196e-05,0.6794279746245385,0.2220365794162939,0.09853544595916756,199.9999999945972,92.08149948485722,-209.9815107078714,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
46,10796749.311566783,6,4.218489292128595,65.78149949026002,548.6177057487685,1,5.9382767392435196e-05,0.6838605697976478,0.21973769859451306,0.0964017316078392,199.9999999945972,92.08149948485722,-209.9815107078714,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
47,10796748.479290625,7,4.2184765647412235,65.7815109949014,548.6178016974776,1,6.491509733450585e-05,0.6880312700085187,0.21758584816653717,0.09438288182494409,199.99999998948127,92.08151098438266,-209.98152343525877,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
48,10796748.452082021,8,4.218476875397613,65.78151061659355,548.6177985423902,1,6.47670262765132e-05,0.6922772040167304,0.21530707565453985,0.09241572032872968,199.99999998918213,92.08151060577568,-209.98152312460238,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
49,10796748.073662238,9,4.218481013515856,65.78150534943227,548.6177546142651,1,6.276479405187274e-05,0.6966023018104224,0.21290408268172803,0.09049361550784968,199.99999998677794,92.0815053362102,-209.98151898648413,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
50,10796748.073662238,10,4.218481013515856,65.78150534943227,548.6177546142651,1,6.276479405187274e-05,0.7010596116299561,0.2103135745929688,0.08862681377707521,199.99999998677794,92.0815053362102,-209.98151898648413,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
51,10796748.073662238,11,4.218481013515856,65.78150534943227,548.6177546142651,1,6.276479405187274e-05,0.705246775221783,0.2078635515696155,0.08688967320860155,199.99999998677794,92.0815053362102,-209.98151898648413,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
52,10796748.026779588,12,4.218481447769506,65.78150475669776,548.6177496708592,1,6.254934197613693e-05,0.7091270113283935,0.20558268225723797,0.08529030641436855,199.99999998639188,92.08150474308964,-209.98151855223048,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
53,10796748.004388206,13,4.218481331434106,65.78150480076842,548.6177500384085,1,6.259513195345789e-05,0.7129796634818109,0.20325771626774558,0.08376262025044358,200.0,92.08150480076841,-209.98151866856588,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
54,10796747.997581773,14,4.218481303343367,65.78150481184217,548.6177501307636,1,6.260544598717388e-05,0.7170212640582648,0.20074248576812043,0.08223625017361479,200.0,92.08150481184217,-209.98151869665662,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
55,10796747.997581773,15,4.218481303343367,65.78150481184217,548.6177501307636,1,6.260544598717388e-05,0.7209162914569119,0.19829395277118167,0.08078975577190645,200.0,92.08150481184217,-209.98151869665662,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
56,10796747.958616108,16,4.218481218223758,65.78150479433921,548.617749984789,1,6.262992686743019e-05,0.7245955628737688,0.195952674897516,0.07945176222871518,200.0,92.08150479433921,-209.98151878177623,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
57,10796747.958616108,17,4.218481218223758,65.78150479433921,548.617749984789,1,6.262992686743019e-05,0.7282771428002186,0.19359311829453754,0.07812973890524384,200.0,92.08150479433921,-209.98151878177623,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
58,10796747.956718046,18,4.2184812151811,65.78150479230771,548.6177499678463,1,6.263061547997494e-05,0.7316743750809257,0.19141910553213626,0.07690651938693804,200.0,92.08150479230771,-209.9815187848189,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
59,10796747.956718046,19,4.2184812151811,65.78150479230771,548.6177499678463,1,6.263061547997494e-05,0.734977734400005,0.18928889865136111,0.07573336694863386,200.0,92.08150479230771,-209.9815187848189,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
60,10796747.956718046,20,4.2184812151811,65.78150479230771,548.6177499678463,1,6.263061547997494e-05,0.7380343427209408,0.18731640094368207,0.0746492563353772,200.0,92.08150479230771,-209.9815187848189,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
61,10796747.956546709,21,4.218481214906433,65.78150479212434,548.617749966317,1,6.263067764393782e-05,0.740819522447549,0.18551179011062613,0.07366868744182492,200.0,92.08150479212433,-209.98151878509356,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
62,10796747.956546709,22,4.218481214906433,65.78150479212434,548.617749966317,1,6.263067764393782e-05,0.7435854471700188,0.18370993298741636,0.07270461984256482,200.0,92.08150479212433,-209.98151878509356,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
63,10796747.956391908,23,4.218481214816251,65.78150479179013,548.6177499635296,1,6.263066170504318e-05,0.7461712438745656,0.18201902385477378,0.07180973227066063,200.0,92.08150479179012,-209.98151878518374,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
64,10796747.955094174,24,4.21848122294324,65.7815047795087,548.6177498611025,1,6.262647367520913e-05,0.7487401987301443,0.18030427228981666,0.07095552898003904,200.0,92.08150477950869,-209.98151877705675,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
65,10796747.954705004,25,4.21848122509698,65.7815047761279,548.6177498329066,1,6.262534707275335e-05,0.7513099495474611,0.17855686903618107,0.0701331814163578,200.0,92.0815047761279,-209.981518774903,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
66,10796747.954705004,26,4.21848122509698,65.7815047761279,548.6177498329066,1,6.262534707275335e-05,0.7539327212027147,0.17675501443990596,0.06931226435737942,200.0,92.0815047761279,-209.981518774903,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
67,10796747.954487506,27,4.21848122620537,65.78150477434012,548.6177498179966,1,6.262476092615543e-05,0.7563947082402447,0.17504412513644393,0.06856116662331149,200.0,92.08150477434012,-209.98151877379462,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
68,10796747.95448222,28,4.218481226187976,65.78150477434396,548.6177498180286,1,6.262476691745177e-05,0.7589126265899719,0.17328935405724524,0.06779801935278292,200.0,92.08150477434395,-209.981518773812,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
69,10796747.95448222,29,4.218481226187976,65.78150477434396,548.6177498180286,1,6.262476691745177e-05,0.7613002864334099,0.17161962942735762,0.0670800841392325,200.0,92.08150477434395,-209.981518773812,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
70,10796747.95448222,30,4.218481226187976,65.78150477434396,548.6177498180286,1,6.262476691745177e-05,0.763459691130068,0.17011118238433992,0.0664291264855921,200.0,92.08150477434395,-209.981518773812,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
71,10796747.95448222,31,4.218481226187976,65.78150477434396,548.6177498180286,1,6.262476691745177e-05,0.7653935451073685,0.1687646266225038,0.0658418282701277,200.0,92.08150477434395,-209.981518773812,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
72,10796747.95448222,32,4.218481226187976,65.78150477434396,548.6177498180286,1,6.262476691745177e-05,0.7672170044219452,0.16747898693806948,0.06530400863998534,200.0,92.08150477434395,-209.981518773812,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
73,10796747.95448222,33,4.218481226187976,65.78150477434396,548.6177498180286,1,6.262476691745177e-05,0.7688897238984922,0.16628427361573508,0.0648260024857727,200.0,92.08150477434395,-209.981518773812,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
74,10796747.954455156,34,4.2184812263210745,65.78150477412665,548.6177498162162,1,6.262469618150135e-05,0.7704021671680169,0.1652086627451921,0.06438917008679099,200.0,92.08150477412664,-209.9815187736789,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
75,10796747.954455156,35,4.2184812263210745,65.78150477412665,548.6177498162162,1,6.262469618150135e-05,0.7718683445279649,0.16417675815794722,0.06395489731408793,200.0,92.08150477412664,-209.9815187736789,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
76,10796747.909603419,36,4.218477873466583,65.78150812994696,548.6177778037576,1,6.412555901533778e-05,0.773263330437395,0.16319212488383905,0.06354454467876591,200.0,92.08150812994695,-209.9815221265334,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
77,10796747.90905869,37,4.218477859774708,65.78150814226805,548.6177779065156,1,6.413150458683958e-05,0.7747785496178662,0.16210283176203186,0.0631186186201019,200.0,92.08150814226805,-209.98152214022528,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-9.0,-3.5,-6.1,-5.5,-14.9
